name,file_name,extra_images,price_paid,personal_value,is_game,type,subtype,notes
Eric the Unready,eric-the-unready,1,22.00,5,TRUE,PC,,
Eye of the Beholder 1,eye-of-the-beholder,1,12.00,2,TRUE,PC,,
Future Wars,future-wars,1,8.00,5,TRUE,PC,,sealed
Hero's Quest: So You Want to Be a Hero?,heros-quest,1,6.00,4,TRUE,PC,,
King's Quest I: Quest for the Crown,kings-quest-1,1,10.00,3,TRUE,PC,,
King's Quest II: Romancing the Throne,kings-quest-2,1,11.00,3,TRUE,PC,,
King's Quest IV: The Perils of Rosella,kings-quest-4,1,7.00,4,TRUE,PC,,
King's Quest V (Alternate),kings-quest-5-alternate,1,11.00,4,TRUE,PC,,
King's Quest V: Absences Makes the Heart Go Yonder,kings-quest-5,1,5.00,4,TRUE,PC,,
"King's Quest VI: Heir Today, Gone Tomorrow",kings-quest-6,1,11.00,5,TRUE,PC,,
King's Quest VII: The Princeless Bride,kings-quest-7,1,6.00,4,TRUE,PC,,
Laura Bow 2: The Dagger of Amon Ra,the-dagger-of-amon-ra,1,10.00,5,TRUE,PC,,
Leisure Suit Larry's Greatest Hits and Misses,leisure-suit-larrys-greatest-hits-and-misses,1,7.00,2,TRUE,PC,,
Phantasmagoria,phantasmagoria,1,10.00,3,TRUE,PC,,
Police Quest IV: Open Season,police-quest-4,1,11.00,2,TRUE,PC,,
Quest for Glory II: Trial by Fire,quest-for-glory-2,1,16.00,3,TRUE,PC,,
Sanitarium,sanitarium,1,14.00,4,TRUE,PC,,
Shivers,shivers,1,11.00,5,TRUE,PC,,
Space Quest 1 VGA,space-quest-1,1,25.00,5,TRUE,PC,,
Space Quest 2,space-quest-2,1,10.00,3,TRUE,PC,,
Space Quest 3,space-quest-3,1,11.00,3,TRUE,PC,,
Space Quest 4,space-quest-4,1,12.00,5,TRUE,PC,,
Space Quest 5,space-quest-5,1,16.00,5,TRUE,PC,,
Space Quest 6,space-quest-6,1,16.00,4,TRUE,PC,,
Space Quest Collection,space-quest-collection,1,4.00,2,TRUE,PC,,
Star Trek 25th Anniversary,star-trek-25th-anniversary,1,10.00,4,TRUE,PC,,
The Hitchhiker's Guide to the Galaxy,the-hitchhikers-guide-to-the-galaxy,2,13.00,5,TRUE,PC,,
The Legend of Kyrandia: Book 1,the-legend-of-kyrandia,2,17.00,5,TRUE,PC,,
Torin's Passage,torins-passage,1,10.00,5,TRUE,PC,,
Kirby's Adventure,kirbys-adventure,2,,3,TRUE,NES,,
Who Framed Roger Rabbit,roger-rabbit,2,,4,TRUE,NES,,
Super Spike V'Ball,super-spike,2,,2,TRUE,NES,,
Friday the 13th,friday-the-13th,2,,4,TRUE,NES,,
Willow,willow,2,,5,TRUE,NES,,
The Little Mermaid,the-little-mermaid,2,,3,TRUE,NES,,
Demon Sword,demon-sword,2,,3,TRUE,NES,,
Robin Hood Prince of Thieves,robin-hood,2,,4,TRUE,NES,,
Home Alone 2,home-alone-2,2,,1,TRUE,NES,,
The Magic of Scheherazade,magic-of-scheherazade,2,,3,TRUE,NES,,
Double Dribble,double-dribble,2,,1,TRUE,NES,,
John Elway's Quarterback,john-elway,2,,1,TRUE,NES,,
Wizards and Warriors,wizards-and-warriors,3,,4,TRUE,NES,,
Strider,strider,2,,4,TRUE,NES,,
Crystalis,crystalis,2,,5,TRUE,NES,,
Deja Vu,deja-vu,2,,5,TRUE,NES,,
Ultima: Quest of the Avatar,ultima-quest-of-the-avatar,2,,3,TRUE,NES,,
Star Tropics,star-tropics,2,,5,TRUE,NES,,
Total Recall,total-recall,2,,4,TRUE,NES,,
The Terminator,the-terminator,2,,4,TRUE,NES,,
Clash at Demonhead,clash-at-demonhead,2,,5,TRUE,NES,,
The Battle of Olympus,battle-of-olympus,2,,4,TRUE,NES,,
Final Fantasy,final-fantasy,6,,5,TRUE,NES,,
Final Fantasy 2,final-fantasy-2,4,,5,TRUE,SNES,,
Final Fantasy 3,final-fantasy-3,4,,5,TRUE,TRUE,,
Final Fantasy Mystic Quest,final-fantasy-mystic-quest,3,,4,TRUE,TRUE,,
Illusion of Gaia,illusion-of-gaia,4,,4,TRUE,TRUE,,
Shadowrun,shadowrun,3,,5,TRUE,TRUE,,
Zombies Ate My Neighbors,zombies-ate-my-neighbors,2,,5,TRUE,TRUE,,
